ACC X (m/s2),ACC Y (m/s2),ACC Z (m/s2),GRAV X (m/s2),GRAV Y (m/s2),GRAV Z (m/s2),LIN ACC X (m/s2),LIN ACC Y (m/s2),LIN ACC Z (m/s2),GYRO X (rad/s),GYRO Y (rad/s),GYRO Z (rad/s),LIGHT (lux),MAG FIELD X (T),MAG FIELD Y (T),MAG FIELD Z (T),ORIENT Z (deg),ORIENT X (deg),ORIENT Y (deg),PROXIMITY (m),SOUND LEVEL (dB),LOC LAT ,LOC LON,LOC ALT (m),LOC SPEED (Km/h),LOC ACCURACY (m),LOC ORIENT (deg),SAT IN RANGE,TIME (ms),YYYY-MO-DD HH-MI-SS_SSS
0.0034,7.0659,2.2329,0.6858,9.0138,3.8014,-0.384,-1.021,1.4698,0.2514,0.1639,0.2165,0,33.5,-92.84,-94.74,303.38,-63.77,-12.54,5,47.99,48.163433,11.558957,591,2.23,11.792,0,0 / 22,13,2018-11-08 17:58:54:261
0.1325,9.0247,3.1223,0.3592,9.0074,3.8611,-0.2949,1.0702,-0.0647,-0.3931,-0.1387,-0.0504,0,31.85,-92.31,-95.97,320.07,-66.71,-5.32,5,66.995,48.163433,11.558957,591,2.23,11.792,0,0 / 22,2013,2018-11-08 17:58:56:261
2.6532,9.1821,1.7679,0.8374,8.9874,3.8335,0.8663,-0.1038,-1.8458,-0.732,0.2172,-0.2415,0,28.73,-94.61,-94.61,322.07,-58.47,2.33,5,52.535,48.163433,11.558957,591,2.23,11.792,0,0 / 22,4012,2018-11-08 17:58:58:260
-3.3844,5.2324,-5.559,-5.8874,7.378,-2.6598,-3.2002,-0.4819,-2.3648,0.8948,-0.5103,-0.9662,0,43.51,-85.87,-85.3,336.06,-64.18,14.86,5,46.252,48.163433,11.558957,591,2.23,11.792,0,0 / 22,6013,2018-11-08 17:59:00:261
-4.8772,9.0348,5.3482,-5.2766,8.2545,-0.4368,0.3114,-1.0491,0.6683,0.5446,0.4203,-0.2217,0,39.16,-75.13,-108.53,50.95,-55.58,46.72,0,51.313,48.163433,11.558957,591,2.23,11.792,0,0 / 22,8012,2018-11-08 17:59:02:260
-2.594,8.1394,1.2722,-1.8201,9.567,1.153,-1.0576,-0.6401,-0.5062,0.8346,-0.2166,0.0473,0,30.86,-91.8,-98.97,116.6,-65.99,115.85,0,53.849,48.163433,11.558957,591,2.23,11.792,0,0 / 22,10012,2018-11-08 17:59:04:260
-3.1292,7.4592,0.9048,-2.8836,9.3238,-0.9597,2.895,-3.9232,3.2472,-0.2068,-0.7338,0.4205,0,39.08,-93.55,-84.97,129.15,-61.95,134.16,0,53.258,48.163433,11.558957,591,2.23,11.792,0,0 / 22,12012,2018-11-08 17:59:06:260
1.8895,8.182,0.45,-0.4264,9.6972,-1.3977,0.0867,0.9775,0.3344,-1.0318,3.1292,0.1445,0,34.06,-100.01,-87.65,112.17,-81.71,125.3,0,54.166,48.163433,11.558957,591,2.23,11.792,0,0 / 22,14013,2018-11-08 17:59:08:261
-1.9052,10.7429,-3.9571,-1.1076,9.7437,-0.0661,-1.305,0.0417,1.5815,-0.2784,-0.1745,-0.2122,0,43.02,-101.26,-79.79,137.1,-70.04,151.72,0,51.259,48.163433,11.558957,591,2.23,11.792,0,0 / 22,16012,2018-11-08 17:59:10:260
-0.9662,9.1127,0.4955,-0.6684,9.7384,-0.9422,1.3783,2.6011,2.0012,0.4528,1.5672,-0.4597,0,44.35,-102.76,-97.56,5.22,-80.09,28.46,0,55.358,48.163433,11.558957,591,2.23,11.792,0,0 / 22,18012,2018-11-08 17:59:12:260
-2.7804,11.3416,0.2414,0.3486,9.4982,2.4152,-1.541,1.8426,-1.233,-0.81,-0.5828,0.3924,0,37.11,-97.5,-98.67,84.94,-82.14,98.14,0,50.72,48.163433,11.558957,591,2.23,11.792,0,0 / 22,20012,2018-11-08 17:59:14:260
-0.2111,8.6265,0.1755,-0.4185,9.6365,1.7702,-0.948,-0.4463,-0.9161,-0.7579,-0.4119,0.0311,0,36.01,-97.11,-77.53,131.95,-75.2,145.06,0,56.116,48.163433,11.558957,591,2.23,11.792,0,0 / 22,22012,2018-11-08 17:59:16:260
1.059,9.745,-4.2063,-0.1151,9.7829,-0.6716,-0.8301,-0.5237,1.8153,-1.1213,1.3343,0.4099,0,32.9,-99.68,-66.11,159.4,-72.09,178.4,0,55.051,48.163433,11.558957,591,2.23,11.792,0,0 / 22,24013,2018-11-08 17:59:18:261
2.8217,13.151,0.5048,0.2327,9.5269,2.3138,-1.1931,2.1958,-1.8187,2.0721,-0.8752,-1.4268,0,28.1,-98.39,-90.88,4.99,-84.43,21.57,0,55.021,48.163433,11.558957,591,2.23,11.792,0,0 / 22,26012,2018-11-08 17:59:20:260
-0.8676,9.127,1.5391,0.3109,9.6252,1.852,-1.0462,-0.2401,-0.9425,-0.7932,-0.7775,0.3458,0,24.06,-97.92,-87.6,135.21,-75.35,140.19,0,49.091,48.163433,11.558957,591,2.23,11.792,0,0 / 22,28013,2018-11-08 17:59:22:261
-0.1147,8.3019,0.2798,-0.8513,9.753,-0.5702,-1.5795,0.4099,4.0589,-1.3867,-0.5165,1.0924,0,23.94,-99.82,-89.56,114.64,-84,123.81,0,55.254,48.163433,11.558957,591,2.23,11.792,0,0 / 22,30012,2018-11-08 17:59:24:260
-0.3588,8.3316,0.903,0.1128,9.5404,-2.2667,2.4649,-1.0092,-1.0298,1.5181,0.5919,-1.4635,0,29.96,-101.72,-70.68,164.3,-76.62,-177.15,0,56.931,48.163433,11.558957,591,2.23,11.792,0,0 / 22,32013,2018-11-08 17:59:26:261
-2.2141,11.9454,1.008,0.3563,9.4189,2.707,0.4931,1.7297,-1.5651,3.3915,0.2886,-0.4429,0,27.53,-101.2,-81.15,319.89,-73.83,-7.5,0,51.783,48.163433,11.558957,591,2.23,11.792,0,0 / 22,34013,2018-11-08 17:59:28:261
-1.2025,8.2081,0.6979,-0.1776,9.7172,1.3094,-0.5219,-0.4647,-0.4854,-1.3099,-0.3966,0.1686,0,24.55,-99.4,-97.59,352.33,-82.26,7.72,0,52.986,48.163433,11.558957,591,2.23,11.792,0,0 / 22,36013,2018-11-08 17:59:30:261
-0.642,7.0201,6.0409,-1.5511,9.5835,-1.3859,2.099,7.7579,0.5321,-1.082,-0.6733,0.6926,0,34.34,-108.28,-80.18,141.22,-68.84,149.43,0,57.302,48.163433,11.558957,591,2.23,11.792,0,0 / 22,38013,2018-11-08 17:59:32:261
2.2792,13.352,0.6001,-1.8219,9.103,-3.1601,2.1375,-4.3627,1.0434,2.5926,0.133,-0.7592,0,42.12,-107.38,-84.15,138.28,-68.16,150.03,0,54.314,48.163433,11.558957,591,2.23,11.792,0,22-Aug,40012,2018-11-08 17:59:34:260
-0.9199,8.7296,0.8071,0.0943,9.7098,1.3714,-1.0432,-0.2659,-1.242,-0.4914,0.1561,0.2999,0,37.47,-112.46,-83.66,326.62,-81.94,-3.93,0,48.657,48.163433,11.558957,591,2.23,11.792,0,0 / 22,42013,2018-11-08 17:59:36:261
-2.0173,9.2383,3.7124,-0.1766,9.4742,-2.5258,0.4417,2.5591,-0.8211,-0.6525,1.0458,0.4839,0,39.45,-108.22,-77.85,156.18,-75.04,176,0,57.616,48.163433,11.558957,591,2.23,11.792,0,0 / 22,44012,2018-11-08 17:59:38:260
0.0846,7.6498,-4.0882,-1.4394,9.1116,-3.3283,0.3449,-3.9172,3.1201,1.6014,0.0639,-1.5954,0,38.91,-102.2,-65.7,142.09,-68.3,156.61,0,55.283,48.163433,11.558957,591,2.23,11.792,0,0 / 22,46012,2018-11-08 17:59:40:260
0.0097,8.608,1.8061,-0.0924,9.6769,-1.5871,1.7192,4.1478,1.9279,2.25,-0.443,-0.8391,0,33.8,-103.13,-78.37,157.21,-80.67,176.67,0,43.678,48.163433,11.558957,591,2.23,11.792,0,0 / 22,48013,2018-11-08 17:59:42:261
-0.4001,7.8344,0.4146,-0.5386,9.788,-0.2733,-2.5407,2.6935,4.1932,-1.2218,-0.071,0.5173,0,21.78,-97.91,-99.39,107.6,-86.47,116.9,0,58.908,48.163433,11.558957,591,2.23,11.792,0,0 / 22,50012,2018-11-08 17:59:44:260
-3.0832,9.8885,4.4945,-1.5848,9.4684,-2.0018,2.792,4.0426,0.1104,-1.2746,-0.1738,0.3544,0,26.42,-97.06,-91.74,135.67,-74.91,141.63,0,55.502,48.163433,11.558957,591,2.23,11.792,0,0 / 22,52012,2018-11-08 17:59:46:260
-2.5048,12.0645,-7.7531,-1.8757,9.1001,-3.1369,1.1314,-3.7531,0.7862,0.9229,1.5896,-1.1241,0,35.31,-99.72,-80.24,139.86,-68.12,149.12,0,57.757,48.163433,11.558957,591,2.23,11.792,0,0 / 22,54013,2018-11-08 17:59:48:261
-0.1975,8.7079,1.6059,0.1771,9.787,0.5947,-0.7536,1.7582,-0.8074,3.0512,0.2388,-0.7251,0,32.2,-103.9,-89.02,321.08,-86.37,-16.58,0,45.218,48.163433,11.558957,591,2.23,11.792,0,0 / 22,56012,2018-11-08 17:59:50:260
0.0912,8.4466,-0.207,-0.9101,9.695,-1.1615,0.6445,-2.9138,2.7676,-1.0069,0.5933,0.6563,0,31.92,-99.49,-95.81,129.71,-81.35,141.92,0,53.189,48.163433,11.558957,591,2.23,11.792,0,0 / 22,58012,2018-11-08 17:59:52:260
-2.6526,11.2459,-6.3133,-1.7966,9.1549,-3.0217,1.736,-4.0641,1.2489,-0.1909,0.0822,-0.4772,0,38.3,-96.27,-76.42,137.22,-68.99,149.27,0,57.022,48.163433,11.558957,591,2.23,11.792,0,0 / 22,60013,2018-11-08 17:59:54:261
0.0611,10.2787,-1.6215,0.5627,9.6935,1.375,-1.6464,2.0579,-0.601,-0.0238,-0.5294,0.1747,0,30.23,-97.02,-82.95,310.18,-81.29,-22.26,0,47.969,48.163433,11.558957,591,2.23,11.792,0,0 / 22,62013,2018-11-08 17:59:56:261
-2.6914,8.422,1.7533,0.2441,9.6035,1.9706,-1.0478,-0.4663,-0.9182,-0.8417,-0.5336,0.2942,0,24.95,-94.02,-96.19,332.8,-78.32,-7.06,0,49.691,48.163433,11.558957,591,2.23,11.792,0,0 / 22,64012,2018-11-08 17:59:58:260
-2.3546,11.202,-6.3323,-1.599,9.1353,-3.1876,2.3629,-4.1832,1.9779,-1.0548,0.334,0.4774,0,35.81,-94.72,-80.93,141.77,-68.68,153.36,0,52.315,48.163433,11.558957,591,2.23,11.792,0,0 / 22,66013,2018-11-08 18:00:00:261
-0.9588,9.6748,0.727,0.457,9.7804,0.5522,1.1676,2.3347,-1.1522,1.4986,-0.1596,-1.4767,0,34.91,-94.36,-79.57,292.52,-85.81,-39.62,0,54.732,48.163433,11.558957,591,2.23,11.792,0,0 / 22,68012,2018-11-08 18:00:02:260
0.2958,10.3611,1.0143,0.7223,9.5111,2.2776,-0.5112,-0.1517,-1.2442,-0.8555,-1.0529,0.1907,0,21.47,-94.73,-99.01,321.24,-75.9,-17.6,0,50.299,48.163433,11.558957,591,2.23,11.792,0,0 / 22,70013,2018-11-08 18:00:04:261
-0.664,10.0927,-2.4534,-0.3516,9.7809,0.6163,0.7273,-0.7682,-0.3826,-0.8903,0.4177,0.8171,0,26.1,-93.86,-95.99,15.64,-85.85,29.7,0,53.844,48.163433,11.558957,591,2.23,11.792,0,0 / 22,72012,2018-11-08 18:00:06:260
0.4803,7.674,-2.2019,0.288,9.583,-2.0627,0.549,-0.8535,-2.3428,0.1144,-0.8227,0.4237,0,32.01,-95.07,-75.5,167.61,-77.74,-172.05,0,49.855,48.163433,11.558957,591,2.23,11.792,0,0 / 22,74013,2018-11-08 18:00:08:261
-0.5698,4.9954,-1.0973,-0.2943,9.6649,-1.6354,2.9053,4.0351,2.2022,0.9653,1.5567,-0.9085,0,34.19,-95.4,-76.54,150.96,-80.24,169.8,0,50.462,48.163433,11.558957,591,2.23,11.792,0,0 / 22,76012,2018-11-08 18:00:10:260
-3.3305,11.0008,1.3606,0.4436,9.4891,2.4354,-1.0986,0.6862,-0.7782,-0.8631,-0.8695,0.1889,0,18.36,-96.25,-100.02,332.29,-75.38,-10.32,0,52.131,48.163433,11.558957,591,2.23,11.792,0,0 / 22,78013,2018-11-08 18:00:12:261
-0.0995,12.2975,-2.2326,-0.096,9.8047,0.1678,0.7119,-0.4485,-0.3321,-1.51,-1.3399,1.1647,0,21.59,-101.31,-91.49,16.54,-88.87,29.78,0,52.026,48.163433,11.558957,591,2.23,11.792,0,0 / 22,80013,2018-11-08 18:00:14:261
0.1858,4.3269,-1.5427,-1.6091,9.2576,-2.8067,0.6197,-2.1814,3.4214,0.8895,2.0413,-1.2652,0,31.94,-98.59,-69.54,140.15,-70.74,150.17,0,57.263,48.163433,11.558957,591,2.23,11.792,0,0 / 22,82012,2018-11-08 18:00:16:260
-1.5889,8.9157,1.6103,-0.1601,9.4867,2.4793,-0.321,0.4024,-1.9931,-0.3284,-1.3335,-0.0316,0,26.39,-100.13,-85.32,340.67,-75.32,3.69,0,48.094,48.163433,11.558957,591,2.23,11.792,0,0 / 22,84013,2018-11-08 18:00:18:261
-0.18,7.7065,0.5085,-0.771,9.7471,-0.7545,-1.5545,0.179,4.1645,0.2378,-0.2065,-0.499,0,30.24,-97.41,-86.42,120.8,-83.68,134.38,0,52.118,48.163433,11.558957,591,2.23,11.792,0,0 / 22,86012,2018-11-08 18:00:20:260
-0.1255,5.396,0.074,-1.3309,9.3388,-2.6808,-3.1416,1.7437,-3.7825,-0.2608,0.4114,-0.0464,0,31.61,-97.33,-80.42,142.69,-72.23,153.6,0,57.516,48.163433,11.558957,591,2.23,11.792,0,0 / 22,88013,2018-11-08 18:00:22:261
2.5404,11.3146,-2.1593,0.7297,9.4814,2.396,0.1838,1.7541,-2.0392,1.1639,1.1311,-0.9728,0,33.41,-95.82,-70.49,300.76,-75.2,-16.94,0,56.123,48.163433,11.558957,591,2.23,11.792,0,0 / 22,90013,2018-11-08 18:00:24:261
-0.1921,11.299,0.7769,0.7487,9.5307,2.1854,-1.2901,0.7719,-1.9169,-0.3822,-0.5725,0.3554,0,22.16,-98.86,-91.34,316.72,-76.38,-18.91,0,48.678,48.163433,11.558957,591,2.23,11.792,0,0 / 22,92012,2018-11-08 18:00:26:260
0.3301,9.0057,-0.5912,0.1498,9.7406,1.1267,-0.4348,-1.2503,-0.4515,-1.0703,0.0738,0.4086,0,21.57,-94.39,-96.8,337.06,-83.34,-7.57,0,57.726,48.163433,11.558957,591,2.23,11.792,0,0 / 22,94012,2018-11-08 18:00:28:260
-3.686,6.8652,-3.7551,-0.4227,9.7974,0.0425,-0.6847,-0.7644,0.0449,-0.7791,-0.4982,-0.0477,0,27.55,-95.71,-89.64,69.36,-87.52,84.25,0,55.458,48.163433,11.558957,591,2.23,11.792,0,0 / 22,96013,2018-11-08 18:00:30:261
0.4267,4.0096,-1.7611,-1.4832,9.4022,-2.3599,-0.7357,0.1058,3.2492,-0.2922,0.4095,-0.2896,0,34.9,-94.94,-78.39,135.53,-73.49,147.85,0,57.279,48.163433,11.558957,591,2.23,11.792,0,0 / 22,98012,2018-11-08 18:00:32:260
0.3885,10.7653,-1.6292,0.4978,9.6842,1.4626,-2.8286,3.5224,-0.0548,1.447,0.1845,-0.4819,0,33.15,-96.91,-79.68,310.68,-80.94,-18.8,0,47.647,48.163433,11.558957,591,2.23,11.792,0,0 / 22,100013,2018-11-08 18:00:34:261
-1.5733,10.8428,0.225,0.7787,9.4861,2.3617,-1.618,0.4244,-1.3905,0.0804,-0.2296,0.1448,0,21.61,-96.82,-96.72,318.45,-75.31,-18.25,0,55.122,48.163433,11.558957,591,2.23,11.792,0,0 / 22,102012,2018-11-08 18:00:36:260
-0.4907,5.3062,-1.8124,-0.4323,9.7669,0.7694,1.9954,-1.2784,-1.1897,-0.9407,0.0159,0.6964,0,30.53,-98.69,-80.45,9.13,-84.84,29.33,0,58.826,48.163433,11.558957,591,2.23,11.792,0,0 / 22,104012,2018-11-08 18:00:38:260
-1.5796,5.5884,-2.7524,-1.6633,9.3686,-2.3735,1.3358,-2.3568,2.0551,-0.2312,0.3281,-0.4395,0,35.46,-95.32,-74.32,133.19,-72.81,144.98,0,53.176,48.163433,11.558957,591,2.23,11.792,0,0 / 22,106012,2018-11-08 18:00:40:260
0.5224,4.5237,-0.6874,-0.3058,9.6018,-1.9703,2.6102,3.1149,1.3711,2.6384,-1.1854,-0.8985,0,36.61,-94.59,-71.31,150.08,-78.27,171.18,0,58.231,48.163433,11.558957,591,2.23,11.792,0,0 / 22,108013,2018-11-08 18:00:42:261
-0.7379,4.0577,0.3575,-0.0665,9.731,-1.2138,-0.5583,4.3307,2.7588,1.1145,0.3988,-0.9903,0,30.84,-94.08,-55.85,152.54,-82.88,176.86,0,54.465,48.163433,11.558957,591,2.23,11.792,0,0 / 22,110012,2018-11-08 18:00:44:260
0.1076,7.5493,1.7964,0.7107,9.4044,2.6875,-0.7103,2.0145,-1.0468,-1.2219,-1.179,0.3198,0,24.72,-101.16,-81.69,312.44,-73.53,-14.81,0,56.498,48.163433,11.558957,591,2.23,11.792,0,0 / 22,112012,2018-11-08 18:00:46:260
0.4366,8.1404,0.3844,-0.7699,9.7625,-0.5209,-0.5336,-2.5293,6.1198,-0.7724,-0.3831,0.3406,0,27.66,-98.11,-87.59,111.72,-84.56,124.08,0,56.987,48.163433,11.558957,591,2.23,11.792,0,0 / 22,114012,2018-11-08 18:00:48:260
-4.4501,11.5591,-3.3561,-1.43,9.2515,-2.9215,0.9991,-3.8063,0.3054,-0.3685,0.8888,-0.2313,0,33.46,-95.37,-69.61,141.93,-70.63,153.92,0,55.346,48.163433,11.558957,591,2.23,11.792,0,0 / 22,116013,2018-11-08 18:00:50:261
-0.4148,10.3495,-0.053,0.428,9.7417,1.0427,0.6813,1.7555,-0.9339,2.3239,-1.3524,-0.7181,0,28.51,-98.13,-78.13,311.24,-83.4,-22.32,0,53.707,48.163433,11.558957,591,2.23,11.792,0,0 / 22,118013,2018-11-08 18:00:52:261
-1.6401,7.8908,0.9214,0.7045,9.6449,1.6278,-1.438,-0.2765,-1.3038,-0.9715,0.269,0.6236,0,19.18,-96.34,-98.47,318.48,-79.58,-23.4,0,49.858,48.163433,11.558957,591,2.23,11.792,0,0 / 22,120012,2018-11-08 18:00:54:260
-6.9776,13.5527,-5.9304,-1.6462,9.2711,-2.74,1.5708,-3.846,0.6604,-0.7216,-1.1356,0.9176,0,28.15,-97.4,-86.79,142.13,-70.98,149,0,53.549,48.163433,11.558957,591,2.23,11.792,0,0 / 22,122012,2018-11-08 18:00:56:260
0.3407,5.4113,-0.1894,0.308,9.7004,-1.4065,2.1221,2.3056,1.9501,2.9206,-0.7525,-0.7354,0,33.12,-96.83,-76.59,170.64,-81.56,-167.65,0,52.781,48.163433,11.558957,591,2.23,11.792,0,0 / 22,124013,2018-11-08 18:00:58:261
1.1689,10.22,-0.3839,1.1994,9.4235,2.435,-1.3698,1.9794,-1.3996,2.3248,0.4706,-0.5931,0,25.7,-99.88,-83.26,298.69,-73.93,-26.22,0,49.901,48.163433,11.558957,591,2.23,11.792,0,0 / 22,126012,2018-11-08 18:01:00:260
-2.8682,10.4926,4.9026,0.43,9.6784,1.5214,-1.0585,-0.6428,-0.5876,-1.0163,0.4921,0.8765,0,26.17,-99.69,-78.46,317.8,-80.72,-15.78,0,54.682,48.163433,11.558957,591,2.23,11.792,0,0 / 22,128012,2018-11-08 18:01:02:260
-1.5287,10.5363,-6.4641,-1.712,9.2071,-2.9102,2.2365,-4.4128,1.9093,-0.7239,0.2174,0.3213,0,22,-94.08,-54.51,144.79,-69.86,149.53,0,53.901,48.163433,11.558957,591,2.23,11.792,0,0 / 22,130012,2018-11-08 18:01:04:260
-1.5885,7.2605,2.0668,0.2334,9.7981,-0.3376,3.4234,3.4745,1.4177,2.9717,0.4905,-0.8977,0,17.55,-92.05,-49.1,193.51,-87.6,-145.34,0,54.61,48.163433,11.558957,591,2.23,11.792,0,0 / 22,132013,2018-11-08 18:01:06:261
-0.9196,11.1959,0.1066,0.6932,9.4021,2.7001,-0.9483,1.3868,-0.9785,0.6157,-0.3614,-0.0274,0,11.82,-103.32,-66.32,316.12,-73.49,-14.4,0,46.557,48.163433,11.558957,591,2.23,11.792,0,0 / 22,134012,2018-11-08 18:01:08:260
2.7698,-1.7425,3.888,0.1238,9.6556,1.7103,-0.8397,-0.7961,-0.8063,-1.5699,-0.7539,1.1418,0,12.2,-103.21,-64.86,339.67,-79.93,-4.14,0,58.765,48.163433,11.558957,591,2.23,11.792,0,22-Oct,136013,2018-11-08 18:01:10:261
-5.9743,11.1434,-5.5364,-1.5827,9.3876,-2.3535,1.4314,-3.395,0.7743,0.3952,-0.6201,0.7967,0,35.59,-94.25,-73.57,133.16,-73.19,146.08,0,53.734,48.163433,11.558957,591,2.23,11.792,0,0 / 22,138013,2018-11-08 18:01:12:261
0.5659,6.319,-0.0544,0.1771,9.6443,-1.7683,1.8759,2.806,1.8368,2.4264,-0.4551,-1.2874,0,26.95,-92.83,-53.56,163.46,-79.56,-174.28,0,48.579,48.163433,11.558957,591,2.23,11.792,0,0 / 22,140013,2018-11-08 18:01:14:261
-0.2784,9.9872,0.6725,0.7946,9.5674,2.0008,-1.9145,0.1845,-0.3685,-0.0738,-0.5527,0.2554,0,21.1,-100.62,-74.29,308.59,-77.32,-21.66,0,53.971,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,142013,2018-11-08 18:01:16:261
-4.137,6.8424,-2.076,-0.1908,9.8048,0.0068,-2.615,-0.5685,0.5387,-0.4011,-0.0299,-0.0157,0,23.45,-99.1,-66.27,70.23,-88.88,87.95,0,51.628,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,144014,2018-11-08 18:01:18:262
0.7823,4.8821,0.124,-0.5792,9.6768,-1.4814,2.3132,1.7891,1.3797,-0.8292,0.4726,0.5826,0,23.84,-94.96,-55.27,143.53,-80.67,158.65,0,55.868,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,146013,2018-11-08 18:01:20:261
0.2347,10.0931,-0.4669,0.9747,9.748,0.4445,-2.2269,0.4686,0.5771,-0.0953,-1.1285,0.3912,0,23.18,-100.67,-68.88,267.33,-83.73,-65.49,0,39.797,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,148014,2018-11-08 18:01:22:262
0.6911,8.2548,0.773,-0.07,9.7975,-0.4177,-0.1975,-0.4474,0.1573,-0.1579,0.58,0.9842,0,25.92,-100.03,-74.83,152.78,-87.52,170.49,0,55.769,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,150012,2018-11-08 18:01:24:260
0.5564,5.0494,-0.9899,-1.9962,9.51,-1.321,-1.2358,-1.9328,-1.6202,-0.5288,1.3959,-0.569,0,26.65,-95.2,-58.46,117.11,-75.87,123.49,0,55.302,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,152012,2018-11-08 18:01:26:260
3.0865,11.3076,-0.3499,1.3182,9.5001,2.0447,-2.609,1.3493,-1.2487,1.5429,-0.769,-1.3038,0,26.75,-93.73,-55.33,277.91,-75.64,-32.81,0,48.279,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,154013,2018-11-08 18:01:28:261
-0.4086,9.9131,1.7025,0.7669,9.6265,1.7064,-1.8658,-0.7729,-0.972,-0.8058,-0.5046,0.4786,0,19.79,-102.3,-76.75,309.76,-79,-24.2,0,46.527,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,156012,2018-11-08 18:01:30:260
-0.4749,7.3421,0.9346,-0.1838,9.7883,0.5707,0.8848,-1.2489,0.4086,-1.159,-0.2284,0.5681,0,26.36,-100.19,-76.06,358.88,-86.49,17.85,0,54.037,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,158012,2018-11-08 18:01:32:260
-1.7411,10.9143,-5.9191,-0.6307,9.7615,-0.6973,2.8421,0.9283,0.4564,-0.8094,0.7757,0.3176,0,27.96,-97.03,-63.97,120.72,-84.5,137.87,0,54.362,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,160012,2018-11-08 18:01:34:260
-0.5826,9.8293,0.0972,0.5797,9.731,1.0689,-1.45,2.7209,-0.9241,0.734,0.6837,-1.2986,0,22.91,-93.22,-52.57,297.64,-82.88,-28.47,0,52.192,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,162013,2018-11-08 18:01:36:261
0.8654,10.1481,-0.0125,0.5603,9.5544,2.1376,-1.8301,0.2629,-1.0353,-1.131,-0.6455,0.4068,0,20.59,-101.84,-72.12,315.81,-76.98,-14.69,0,45.975,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,164013,2018-11-08 18:01:38:261
-1.1942,7.7618,0.0696,-0.1108,9.7813,0.6956,1.3946,-1,-0.4885,-1.0982,-0.2392,0.4594,0,19.06,-101.14,-67.85,352.67,-85.88,9.05,0,54.906,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,166014,2018-11-08 18:01:40:262
0.363,4.9438,-2.0919,-1.7295,9.5673,-1.2827,2.8491,3.6564,2.0918,-0.1202,1.3062,-0.7153,0,23.13,-95.52,-55.72,121.25,-77.32,126.56,0,53.657,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,168012,2018-11-08 18:01:42:260
1.7717,12.4183,0.437,0.9096,9.6504,1.4875,-3.3879,2.6934,-0.7299,2.2739,-1.0607,-1.0572,0,24.27,-91.9,-52.04,287.47,-79.76,-31.45,0,57.215,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,170013,2018-11-08 18:01:44:261
0.8827,10.1122,0.6995,0.6635,9.5455,2.1479,-1.3232,0.1581,-1.194,-0.9934,-0.7002,0.4279,0,16.38,-102.67,-70.65,316.22,-76.75,-17.17,0,48.087,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,172013,2018-11-08 18:01:46:261
-0.5816,8.2329,-0.1873,-0.1586,9.8035,0.1927,-1.6096,-0.6827,0.057,-1.34,-0.5504,1.0894,0,17.46,-101.4,-65.75,25.97,-88.54,39.46,0,56.346,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,174013,2018-11-08 18:01:48:261
1.1031,4.2131,-0.9394,-1.4899,9.5252,-1.7946,0.067,-0.9785,-0.7823,0.6724,1.7224,-0.9917,0,23.14,-94.8,-54.42,133.01,-76.24,140.3,0,52.48,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,176012,2018-11-08 18:01:50:260
0.201,10.0176,-0.0099,1.1591,9.4727,2.2574,-1.4778,1.3855,-1.9137,2.7963,0.3064,-0.8297,0,26.72,-93.89,-56.79,284.28,-75,-27.18,0,46.408,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,178012,2018-11-08 18:01:52:260
-0.5294,8.731,0.5466,0.271,9.7221,1.2557,-0.4744,-0.5707,-0.4736,-0.6204,-0.4095,0.4292,0,15.84,-104.03,-72.28,329.72,-82.47,-12.18,0,54.347,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,180013,2018-11-08 18:01:54:261
-2.3571,12.3182,5.6064,-1.308,9.6197,-1.386,3.1339,5.369,-0.2511,-0.1917,0.2879,-0.6997,0,21.81,-100.1,-59.5,129.67,-78.79,136.66,0,54.911,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,182013,2018-11-08 18:01:56:261
3.117,13.0551,2.7606,-1.451,9.2734,-2.8407,1.8269,-4.0706,1.1763,-0.0047,1.2855,-0.5677,0,25.06,-92.42,-50.81,282.54,-75.32,-26.51,0,54.727,48.163303,11.557216,641,3.35,18.224,188.6,0 / 22,184013,2018-11-08 18:01:58:261
